word,reading,meaning,,source,,related
尸位素餐,しいそさん,高い地位をもっているだけの無駄飯食い。 または、職務を果たしていないのに無駄に高い給料を得ていることのたとえ。 「尸位」は才能も人徳もないのに高い地位についていること。 「素餐」は何もせずに食べるばかりであること。,,"『漢書』「朱雲伝」,『論衡』「量知」",１,尸禄素餐（しろくそさん） 窃位素餐（せついそさん） 伴食宰相（ばんしょくさいしょう） 伴食大臣（ばんしょくだいじん）
駟介旁旁,しかいほうほう（しかいぼうぼう）,武装した四頭立ての馬が引く戦車が戦場を駆け巡ること。 「駟」は四頭立ての馬のこと。 「介」は鎧のこと。 「旁旁」は駆け巡る様子。,駟介旁旁（しかいぼうぼう）,『詩経』「鄭風・清人」,１,
徙家忘妻,しかぼうさい,物忘れが酷いこと。 「徙家」は家を移すという意味。 引越しの時に妻を忘れて置いてきてしまうということから。,,『孔子家語』「賢君」,,徙宅忘妻（したくぼうさい）
舳艫千里,じくろせんり,船の船尾に次の船の船首がくっつくような間隔で、どこまでも連なっていること。 または、そのように船団が進む様子。 「舳」は船首、「艫」は船尾、「千里」は距離が非常に長いこと。,,『漢書』「武帝紀」,１,
布衣之極,ふいのきょく（ふいのきわみ）,庶民として最高の出世のこと。 「布衣」は布で作った衣服のことで、一般庶民をあらわすことから、無位無官の人のこと。 「極」は最高、最上という意味。,布衣之極（ふいのきわみ）,『史記』「留候世家」,準１,
夜雨対牀,やうたいしょう,兄弟や友人との仲がとても良いこと。 「対牀」は寝床を並べるという意味。 夜に雨の音を聞きながら寝床を並べて仲良く眠ることから。 「対牀夜雨」ともいう。,対牀夜雨（たいしょうやう）,蘇軾,１,対牀風雪（たいしょうふうせつ）
黝堊丹漆,ゆうあくたんしつ,建物が昔からの伝統に基づいて作られていること。 異説もあるが、「黝」は青みを帯びた黒色、「堊」は白色、「丹」は赤色、「漆」は黒色または漆塗りのこと。,,李覯「袁州学記」,１,
游雲驚竜,ゆううんきょうりょう（ゆううんきょうりゅう）,書の筆遣いが素晴らしく、筆跡が生き生きとしている様子。 「雲」はいろいろなものに変化すること。 「竜」は神秘的で、力強く勇ましい動きのこと。 素晴らしい筆遣いを雲と竜にたとえたもの。,游雲驚竜（ゆううんきょうりゅう）,『晋書』「王義之伝」,１,
勇往邁進,ゆうおうまいしん,ひるまず、ためらわず、ひたすら目標や目的を目指して真っ直ぐ進むこと。 「勇往」は意気込んで前に進むこと。 「邁進」は気後れすることなく進むこと。,,,１,直往邁進（ちょくおうまいしん） 猪突猛進（ちょとつもうしん） 勇往猛進（ゆうおうもうしん）
融通無礙,ゆうずうむげ,何かにこだわることがなく、思考や行動が自由であること。 「融通」は物事が停滞することなく順調に進むこと。 「無礙」は障害になるものがないという意味。 「融通無碍」とも書く。,融通無碍（ゆうずうむげ）,,１,無礙自在（むげじざい） 融通自在（ゆうずうじざい）
余韻嫋嫋,よいんじょうじょう,音が鳴り止んだ後の響きが細く長く続く様子。 または、詩、文、出来事の後に残る風情や余情のたとえ。 「余韻」は音が鳴り止んだ後の響き。 「嫋嫋」は音が細く長く続くこと。,余韻嫋々（よいんじょうじょう）,蘇軾「前赤壁賦」,１,
羊裘垂釣,ようきゅうすいちょう,世間から離れてのんびりと暮らす隠者のたとえ。 「羊裘」は羊のかわごろも、「釣」は釣り針のこと。 羊のかわごろもを着て釣り糸を垂れることから。,,『後漢書』「厳光伝」,１,
傭書自資,ようしょじし,人に雇われて文書を書くことを仕事にして、生計を立てること。 「傭書」は雇われて文書を書き写すこと。 「自資」は自身の生計の糧にすること。,,『魏書』「劉芳伝」,準１,心織筆耕（しんしょくひっこう） 操觚之士（そうこのし） 筆耕硯田（ひっこうけんでん）
雷陳膠漆,らいちんこうしつ,とても深く固い友情のこと。 「雷陳」は中国後漢の雷義と陳重という人物。 「膠漆」は接着剤の膠と漆のこと。 膠や漆がかたく張り付くよりも二人の関係は固いと噂されたという故事から。,,『後漢書』「雷義伝」,１,管鮑之交（かんぽうのまじわり） 金蘭之契（きんらんのけい） 膠漆之交（こうしつのまじわり） 莫逆之友（ばくぎゃくのとも） 刎頸之交（ふんけいのまじわり）
雷霆万鈞,らいていばんきん,他の比ではないほどの激しい勢いや力のたとえ。 「雷霆」は雷が轟くこと。 「鈞」は重さの単位のことで、「万鈞」は非常に重いこと。,,『漢書』「賈山伝」,１,電光雷轟（でんこうらいごう） 雷轟電撃（らいごうでんげき）
布衣之交,ふいのまじわり（ふいのこう）,身分や地位などを気にしない心からの交友。または、庶民の付き合い。 「布衣」は布で作った衣服のことで一般庶民をあらわすことから無位無官の人のこと。,布衣之交（ふいのこう）,『史記』「廉頗藺相如伝」,準１,布衣之友（ふいのとも）
磊磊落落,らいらいらくらく,心がとても広く、些細なことにこだわらずさっぱりとしていること。 心が大きく小さなことを気にしないという意味の「磊落」を重ねて強調した言葉。,磊々落々（らいらいらくらく）,『晋書』「石勒載記」,１,海闊天空（かいかつてんくう） 豪放磊落（ごうほうらいらく） 磊落闊達（らいらくかったつ）
落英繽紛,らくえいひんぷん,花びらが散り、乱れ舞う様子。 「落英」は散り落ちる花びらのこと、「繽紛」は乱れ散ること。,,陶潜「桃花源記」,１,落花繽紛（らっかひんぷん）
落花狼藉,らっかろうぜき,あちこちひどく散らかっていること。 花が舞い散るという意味から。  「落花」は花が散ること。 「狼藉」は狼が草を敷いて寝た後の散らかっている様子のこと。,,『和漢朗詠集』「上」,１,杯盤狼藉（はいばんろうぜき） 乱暴狼藉（らんぼうろうぜき）
爛額焦頭,らんがくしょうとう,大切なことを忘れて、必要の無いことを重要視すること。 または、何かをするときに非常に苦労すること。 「爛額」は額が爛（ただ）れること。 「焦頭」は頭を焦がすこと。 火事のときに消火や救助をしてくれた人には感謝して、防火方法を教えてくれた人には感謝せず、加えて防火もしていなかったという故事から。 「焦頭爛額」ともいう。,焦頭爛額（しょうとうらんがく）,『漢書』「霍光伝」,１,釈根灌枝（しゃくこんかんし） 捨根注枝（しゃこんちゅうし） 舎本逐末（しゃほんちくまつ） 主客転倒（しゅかくてんとう） 本末転倒（ほんまつてんとう） 冠履倒易（かんりとうえき）
